Diagnosis,Model,XAI_Method,Feature,Reduced Feature,Score,ABS Score,Normalized Score (0-1)
asthmaDiagnosis,NN,Saliency,sdohLivedWithSentenced18,sdohLivedWithSentenced18,-0.089142762,0.089142762,0.100615653
diabetesDiagnosis,NN,Feature_Ablation,sdohDiscriminationByPolice,sdohDiscriminationByPolice,0.031608336,0.031608336,0.100600828
dcsDiabetesDiagnosisByHealthProf,Ensemble,Permutation_Importance,sdohLivedWithMentalIllness18,sdohLivedWithMentalIllness18,0.020994475,0.020994475,0.100556898
asthmaDiagnosis,NN,Saliency,sdohLivedWithAlcoholic18,sdohLivedWithAlcoholic18,0.089028247,0.089028247,0.1004864
cancerDiagnosedskinunknownType17,DT,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.020934164,0.020934164,0.100268028
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdohHomeProblemPests,sdohHomeProblemPests,0.03146362,0.03146362,0.100140236
highCholesterolDiagnosis17,NN,LIME,#NAME?,#NAME?,-0.078231769,0.078231769,0.10002447
diabetesDiagnosis,NN,Feature_Ablation,sdohPlacesForHealthyFood,sdohPlacesForHealthyFood,0.031408914,0.031408914,0.099966122
cancerDiagnosedColon17,NN,Permutation_Importance,sdohHomeProblemLead,sdohHomeProblemLead,0.020864011,0.020864011,0.099932017
cancerDiagnosedskinunknownType17,Ensemble,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.020854093,0.020854093,0.099884513
anginaDiagnosis17,NN,Feature_Ablation,sdohLivedWithSplitHome18,sdohLivedWithSplitHome18,0.031379248,0.031379248,0.099871703
diabetesDiagnosis,DT,Permutation_Importance,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.020839565,0.020839565,0.099814929
cancerDiagnosedUterine17,NN,Feature_Ablation,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.031357959,0.031357959,0.099803946
cancerDiagnosedUterine17,NN,Feature_Ablation,sdohPlacesForParksplay,sdohPlacesForParksplay,0.031357959,0.031357959,0.099803946
asthmaDiagnosis,XGB,LIME,sdohSatisfiedWithLife > 0.43,sdohSatisfiedWithLife,0.078031114,0.078031114,0.09976792
typeOfArthritisDiagnosed17,Ensemble,Feature_Ablation,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.03133877,0.03133877,0.099742872
highCholesterolDiagnosis17,XGB,LIME,#NAME?,#NAME?,0.077993161,0.077993161,0.099719394
cancerDiagnosedCervical17,XGB,Feature_Ablation,sdohHowOftenChildTouched,sdohHowOftenChildTouched,0.031294326,0.031294326,0.099601419
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.031276337,0.031276337,0.099544165
cancerDiagnosedUterine17,Ensemble,Permutation_Importance,sdohAccessPublicTransportation,sdohAccessPublicTransportation,0.020781292,0.020781292,0.099535819
cancerDiagnosis17,NN,Feature_Ablation,sdohDateCompletedMonth,sdohDateCompletedMonth,0.031262289,0.031262289,0.099499454
strokeDiagnosis17,XGB,SHAP,sdohPlacesForParksplay,sdohPlacesForParksplay,0.137052163,0.137052163,0.099472653
anginaDiagnosis17,DT,SHAP,sdohFeelIsolated,sdohFeelIsolated,0.136949796,0.136949796,0.099398355
asthmaDiagnosis,NN,LIME,sdohSatisfiedWithLife > 0.43,sdohSatisfiedWithLife,0.077677317,0.077677317,0.099315567
typeOfArthritisDiagnosed17,NN,Saliency,sdohPlacesForMedicalCare,sdohPlacesForMedicalCare,0.087981425,0.087981425,0.09930485
asthmaDiagnosis,Ensemble,Permutation_Importance,sdohAffordableHousing,sdohAffordableHousing,0.020727946,0.020727946,0.099280309
asthmaDiagnosis,NN,Permutation_Importance,sdohHelpFromCommunity,sdohHelpFromCommunity,0.020717664,0.020717664,0.099231061
cancerDiagnosis17,DT,SHAP,sdohFeelLeftOut,sdohFeelLeftOut,0.136701879,0.136701879,0.099218416
typeOfArthritisDiagnosed17,Ensemble,Feature_Ablation,sdohHelpFromFriends,sdohHelpFromFriends,0.031155503,0.031155503,0.099159583
arthritisDiagnosis17,XGB,Feature_Ablation,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.031149054,0.031149054,0.099139057
cancerDiagnosedColon17,NN,Feature_Ablation,sdohLivedWithAlcoholic18,sdohLivedWithAlcoholic18,0.031136343,0.031136343,0.099098602
cancerDiagnosedSkinnonmelano17,Ensemble,Permutation_Importance,sdohHowOftenChildInsult,sdohHowOftenChildInsult,0.020687174,0.020687174,0.099085024
dcsDiabetesDiagnosisByHealthProf,XGB,Permutation_Importance,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.020685457,0.020685457,0.0990768
cancerDiagnosedUterine17,DT,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.020683852,0.020683852,0.099069112
arthritisDiagnosis17,XGB,SHAP,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.136432022,0.136432022,0.099022554
diabetesDiagnosis,Ensemble,LIME,sdohFeelLeftOut > 0.43,sdohFeelLeftOut,0.077442151,0.077442151,0.099014892
asthmaDiagnosis,NN,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.020666255,0.020666255,0.098984828
dcsDiabetesDiagnosisByHealthProf,Ensemble,Feature_Ablation,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.031089053,0.031089053,0.09894809
dcsDiabetesDiagnosisByHealthProf,Ensemble,Feature_Ablation,sdohDateCompletedMonth,sdohDateCompletedMonth,0.031089053,0.031089053,0.09894809
strokeDiagnosis17,NN,Feature_Ablation,sdohDiscriminationInHealthcare,sdohDiscriminationInHealthcare,0.031071888,0.031071888,0.098893459
cancerDiagnosis17,NN,Feature_Ablation,sdohHowOftenAbused18,sdohHowOftenAbused18,0.03106567,0.03106567,0.098873668
cancerDiagnosis17,NN,Feature_Ablation,sdohHelpFromFamily,sdohHelpFromFamily,0.03106567,0.03106567,0.098873668
cancerDiagnosedSkinMelanoma17,Ensemble,Feature_Ablation,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.031054792,0.031054792,0.098839047
cancerDiagnosedOther17,DT,LIME,sdohDateCompletedMonth <= -0.39,sdohDateCompletedMonth,0.077272116,0.077272116,0.098797491
anginaDiagnosis17,NN,Feature_Ablation,sdohHowOftenHurtByOthers,sdohHowOftenHurtByOthers,0.031019601,0.031019601,0.098727043
arthritisDiagnosis17,XGB,LIME,sdohPlacesForParksplay <= -0.79,sdohPlacesForParksplay,0.07717612,0.07717612,0.098674754
cancerDiagnosis17,NN,Integrated_Gradients,sdoh12MosFoodRanOut,sdoh12MosFoodRanOut,0.110918291,0.110918291,0.098625838
arthritisDiagnosis17,NN,LIME,sdoh30DaysMinPerDayModExrcs <= -0.78,sdoh30DaysMinPerDayModExrcs,0.077121862,0.077121862,0.098605381
cancerDiagnosedBreast17,DT,Feature_Ablation,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.030969479,0.030969479,0.098567518
arthritisDiagnosis17,NN,LIME,sdoh12MosNoTransDaily <= -1.00,sdoh12MosNoTransDaily,0.077038295,0.077038295,0.098498535
cancerDiagnosedLung17,DT,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.020557522,0.020557522,0.098464032
cancerDiagnosedOther17,NN,Feature_Ablation,sdohHomeProblemPests,sdohHomeProblemPests,0.03093247,0.03093247,0.098449729
asthmaDiagnosis,NN,Permutation_Importance,sdohHomeProblemHeat,sdohHomeProblemHeat,0.020553156,0.020553156,0.09844312
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohHomeProblemHeat,sdohHomeProblemHeat,0.020551601,0.020551601,0.098435672
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.020542121,0.020542121,0.098390266
diabetesDiagnosis,Ensemble,Feature_Ablation,sdohAccessPublicTransportation,sdohAccessPublicTransportation,0.03091036,0.03091036,0.098379359
strokeDiagnosis17,NN,Feature_Ablation,sdohHomeProblemWaterLeaks,sdohHomeProblemWaterLeaks,0.030888031,0.030888031,0.098308291
typeOfArthritisDiagnosed17,NN,Feature_Ablation,sdohMeetingsPerYear,sdohMeetingsPerYear,0.030880601,0.030880601,0.098284644
emphysemaDiagnosis17,DT,Feature_Ablation,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.03087417,0.03087417,0.098264175
cancerDiagnosis17,NN,Feature_Ablation,sdoh12MosPayRentmortgLate,sdoh12MosPayRentmortgLate,0.030869052,0.030869052,0.098247886
typeOfArthritisDiagnosed17,XGB,Permutation_Importance,sdohHelpFromFriends,sdohHelpFromFriends,0.020507651,0.020507651,0.098225165
typeOfArthritisDiagnosed17,NN,Integrated_Gradients,sdohFeelIsolated,sdohFeelIsolated,0.110465251,0.110465251,0.098223006
typeOfArthritisDiagnosed17,NN,LIME,#NAME?,#NAME?,-0.076769599,0.076769599,0.09815499
diabetesDiagnosis,NN,Feature_Ablation,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.030810649,0.030810649,0.098062005
strokeDiagnosis17,Ensemble,Feature_Ablation,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.030796102,0.030796102,0.098015706
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.020459973,0.020459973,0.097996803
cancerDiagnosedBreast17,Ensemble,Permutation_Importance,sdohLivedWithDrugs18,sdohLivedWithDrugs18,0.020439856,0.020439856,0.097900449
cancerDiagnosedProstate17,NN,Feature_Ablation,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.030730749,0.030730749,0.097807705
anginaDiagnosis17,NN,SHAP,sdohHomeProblemPests,sdohHomeProblemPests,0.13468585,0.13468585,0.09775518
asthmaDiagnosis,NN,Saliency,sdohHomeProblemCook,sdohHomeProblemCook,-0.086560413,0.086560413,0.09770095
asthmaDiagnosis,NN,Permutation_Importance,sdoh12MosWorriedAboutFood,sdoh12MosWorriedAboutFood,0.020388649,0.020388649,0.097655183
cancerDiagnosedSkinnonmelano17,XGB,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.020372369,0.020372369,0.097577207
cancerDiagnosedColon17,NN,Permutation_Importance,sdohHowOftenHurtByOthers,sdohHowOftenHurtByOthers,0.020349508,0.020349508,0.09746771
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdohHomeProblemLead,sdohHomeProblemLead,0.030620845,0.030620845,0.09745791
diabetesDiagnosis,NN,Feature_Ablation,sdohLivedWithMentalIllness18,sdohLivedWithMentalIllness18,0.030611227,0.030611227,0.097427299
cancerDiagnosedCervical17,DT,LIME,#NAME?,#NAME?,-0.076181678,0.076181678,0.097403294
cancerDiagnosedUterine17,DT,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.020329524,0.020329524,0.097371993
cancerDiagnosedOther17,Ensemble,Permutation_Importance,sdohSatisfiedWithHome,sdohSatisfiedWithHome,0.020321913,0.020321913,0.097335539
cancerDiagnosis17,NN,Feature_Ablation,sdohMeetingsPerYear,sdohMeetingsPerYear,0.030574125,0.030574125,0.097309213
typeOfArthritisDiagnosed17,Ensemble,Permutation_Importance,sdohDateCompletedYear,sdohDateCompletedYear,0.020306057,0.020306057,0.097259594
anginaDiagnosis17,Ensemble,LIME,sdohFeelIsolated <= -0.18,sdohFeelIsolated,0.075994864,0.075994864,0.09716444
cancerDiagnosedBreast17,XGB,Feature_Ablation,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.030520646,0.030520646,0.097139004
cancerDiagnosedSkinMelanoma17,NN,Feature_Ablation,sdohSatisfiedWithHome,sdohSatisfiedWithHome,0.030519365,0.030519365,0.097134927
cancerDiagnosedSkinMelanoma17,NN,Feature_Ablation,sdohHowOftenChildTouched,sdohHowOftenChildTouched,0.030519365,0.030519365,0.097134927
emphysemaDiagnosis17,NN,LIME,#NAME?,#NAME?,-0.075953844,0.075953844,0.097111993
diabetesDiagnosis,NN,Feature_Ablation,sdohSafeFromCrimeviolence,sdohSafeFromCrimeviolence,0.030511517,0.030511517,0.097109949
anginaDiagnosis17,NN,Feature_Ablation,sdohPlacesForHealthyFood,sdohPlacesForHealthyFood,0.030480129,0.030480129,0.097010049
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohHomeProblemWaterLeaks,sdohHomeProblemWaterLeaks,0.020242987,0.020242987,0.096957509
typeOfArthritisDiagnosed17,NN,Integrated_Gradients,sdohSafeFromCrimeviolence,sdohSafeFromCrimeviolence,0.109036438,0.109036438,0.09695254
cancerDiagnosedLung17,NN,Feature_Ablation,sdohHowOftenChildHurt,sdohHowOftenChildHurt,0.030442478,0.030442478,0.096890216
dcsDiabetesDiagnosisByHealthProf,NN,LIME,sdohHowOftenScreamCurse <= 0.13,sdohHowOftenScreamCurse,0.075647319,0.075647319,0.096720081
cancerDiagnosedOther17,XGB,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.020187034,0.020187034,0.096689511
cancerDiagnosedskinunknownType17,XGB,Permutation_Importance,sdohHowOftenAskedToTouch,sdohHowOftenAskedToTouch,0.020186833,0.020186833,0.096688549
anginaDiagnosis17,XGB,Permutation_Importance,sdohPlacesForParksplay,sdohPlacesForParksplay,0.020185218,0.020185218,0.096680813
strokeDiagnosis17,XGB,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.020178342,0.020178342,0.096647879
cancerDiagnosedSkinMelanoma17,NN,Feature_Ablation,sdohNoHomeProblems,sdohNoHomeProblems,0.030340889,0.030340889,0.096566886
strokeDiagnosis17,NN,Feature_Ablation,sdoh12MosNoTransDaily,sdoh12MosNoTransDaily,0.030336459,0.030336459,0.096552786
strokeDiagnosis17,NN,Integrated_Gradients,sdohAffordableHousing,sdohAffordableHousing,-0.108562641,0.108562641,0.096531252
typeOfArthritisDiagnosed17,NN,LIME,#NAME?,#NAME?,-0.075471102,0.075471102,0.096494776
emphysemaDiagnosis17,DT,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.020122061,0.020122061,0.096378311
cancerDiagnosis17,Ensemble,Feature_Ablation,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.030279198,0.030279198,0.09637054
dcsDiabetesDiagnosisByHealthProf,XGB,Feature_Ablation,sdohHomeProblemLead,sdohHomeProblemLead,0.030246278,0.030246278,0.096265764
emphysemaDiagnosis17,NN,Feature_Ablation,sdohHowOftenScreamCurse,sdohHowOftenScreamCurse,0.030245916,0.030245916,0.096264612
strokeDiagnosis17,Ensemble,Feature_Ablation,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.03024453,0.03024453,0.096260201
strokeDiagnosis17,XGB,Feature_Ablation,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.03024453,0.03024453,0.096260201
emphysemaDiagnosis17,NN,LIME,0.01 < sdohDiscriminationStores <= 0.47,sdohDiscriminationStores,0.075165562,0.075165562,0.096104123
asthmaDiagnosis,NN,LIME,#NAME?,#NAME?,-0.075120001,0.075120001,0.09604587
asthmaDiagnosis,NN,Permutation_Importance,sdohHowOftenThreatenedHarm,sdohHowOftenThreatenedHarm,0.020049352,0.020049352,0.096030058
cancerDiagnosedLung17,Ensemble,Permutation_Importance,sdohHowOftenScreamCurse,sdohHowOftenScreamCurse,0.020044248,0.020044248,0.096005612
cancerDiagnosedSkinMelanoma17,NN,Feature_Ablation,sdohHowOftenStress,sdohHowOftenStress,0.030162413,0.030162413,0.095998844
cancerDiagnosedColon17,Ensemble,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.020039031,0.020039031,0.095980624
dcsDiabetesDiagnosisByHealthProf,NN,LIME,sdohHomeProblemWaterLeaks <= 0.01,sdohHomeProblemWaterLeaks,0.075062272,0.075062272,0.09597206
cancerDiagnosedSkinMelanoma17,XGB,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.02003391,0.02003391,0.095956096
cancerDiagnosedLung17,NN,Permutation_Importance,sdohHowOftenThreatenedHarm,sdohHowOftenThreatenedHarm,0.020026549,0.020026549,0.095920839
dcsDiabetesDiagnosisByHealthProf,Ensemble,Feature_Ablation,sdohAffordableHousing,sdohAffordableHousing,0.030058994,0.030058994,0.09566969
diabetesDiagnosis,XGB,SHAP,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.131753504,0.131753504,0.095626879
highCholesterolDiagnosis17,Ensemble,LIME,#NAME?,#NAME?,0.074775375,0.074775375,0.095605243
cancerDiagnosedOther17,Ensemble,Feature_Ablation,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.03003327,0.03003327,0.095587817
anginaDiagnosis17,Ensemble,Feature_Ablation,sdohFeelIsolated,sdohFeelIsolated,0.03003057,0.03003057,0.095579224
cancerDiagnosedBreast17,NN,Permutation_Importance,sdohHomeProblemHeat,sdohHomeProblemHeat,0.019955117,0.019955117,0.095578702
asthmaDiagnosis,XGB,SHAP,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.131645724,0.131645724,0.095548652
cancerDiagnosedLung17,NN,Feature_Ablation,sdohFeelLeftOut,sdohFeelLeftOut,0.03,0.03,0.095481928
cancerDiagnosis17,NN,Feature_Ablation,sdoh12MosFoodRanOut,sdoh12MosFoodRanOut,0.029984271,0.029984271,0.095431866
cancerDiagnosedSkinMelanoma17,NN,Feature_Ablation,sdoh12MosMissCardOrLoanPymt,sdoh12MosMissCardOrLoanPymt,0.029983937,0.029983937,0.095430803
typeOfArthritisDiagnosed17,NN,Saliency,sdohHelpFromFamily,sdohHelpFromFamily,-0.084464967,0.084464967,0.095335815
anginaDiagnosis17,NN,Feature_Ablation,sdohDiscriminationInHealthcare,sdohDiscriminationInHealthcare,0.029940658,0.029940658,0.095293058
highCholesterolDiagnosis17,XGB,LIME,0.43 < sdohAffordableHousing <= 0.76,sdohAffordableHousing,-0.074474354,0.074474354,0.095220368
cancerDiagnosis17,XGB,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.019878097,0.019878097,0.095209801
cancerDiagnosedLymphomaNonhodgkins17,NN,Feature_Ablation,sdohNoHomeProblems,sdohNoHomeProblems,0.029898275,0.029898275,0.095158164
cancerDiagnosis17,NN,Feature_Ablation,sdohNoHomeProblems,sdohNoHomeProblems,0.029885961,0.029885961,0.095118972
cancerDiagnosis17,NN,Feature_Ablation,sdohDiscriminationApplyingServices,sdohDiscriminationApplyingServices,0.029885961,0.029885961,0.095118972
typeOfArthritisDiagnosed17,NN,Feature_Ablation,sdohHelpFromFriends,sdohHelpFromFriends,0.029872629,0.029872629,0.09507654
cancerDiagnosedSkinnonmelano17,Ensemble,Feature_Ablation,sdohUsedElectronicNicotineProd,sdohUsedElectronicNicotineProd,0.029861486,0.029861486,0.095041075
cancerDiagnosedProstate17,NN,Feature_Ablation,sdohHowOftenStress,sdohHowOftenStress,0.029837413,0.029837413,0.094964457
anginaDiagnosis17,Ensemble,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.019825571,0.019825571,0.094958218
typeOfArthritisDiagnosed17,NN,Saliency,sdohHowHardPayBasics,sdohHowHardPayBasics,0.084094554,0.084094554,0.094917729
cancerDiagnosedOther17,NN,LIME,sdohHomeProblemMold <= -0.77,sdohHomeProblemMold,0.074236397,0.074236397,0.094916124
asthmaDiagnosis,Ensemble,LIME,#NAME?,#NAME?,0.074233881,0.074233881,0.094912907
strokeDiagnosis17,XGB,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.019810627,0.019810627,0.094886641
cancerDiagnosedColon17,DT,LIME,sdohPlacesForParksplay > 0.65,sdohPlacesForParksplay,0.074099507,0.074099507,0.094741101
cancerDiagnosis17,NN,Integrated_Gradients,sdohLivedWithSentenced18,sdohLivedWithSentenced18,0.106538609,0.106538609,0.094731532
anginaDiagnosis17,NN,Feature_Ablation,sdohNoHomeProblems,sdohNoHomeProblems,0.029760834,0.029760834,0.094720727
anginaDiagnosis17,DT,Feature_Ablation,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.029760834,0.029760834,0.094720727
highCholesterolDiagnosis17,Ensemble,LIME,0.18 < sdohTelephoneOthersPerWeek <= 1.18,sdohTelephoneOthersPerWeek,0.0740469,0.0740469,0.09467384
diabetesDiagnosis,Ensemble,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.019742746,0.019742746,0.094561512
cancerDiagnosedskinunknownType17,DT,LIME,#NAME?,#NAME?,0.073882266,0.073882266,0.094463344
asthmaDiagnosis,DT,LIME,#NAME?,#NAME?,0.073877527,0.073877527,0.094457285
cancerDiagnosis17,Ensemble,Permutation_Importance,sdohHelpFromFriends,sdohHelpFromFriends,0.019710971,0.019710971,0.09440932
dcsDiabetesDiagnosisByHealthProf,NN,LIME,sdohHelpFromCommunity <= -0.20,sdohHelpFromCommunity,0.073793729,0.073793729,0.094350144
cancerDiagnosedOther17,Ensemble,Permutation_Importance,sdohHowOftenChildHurt,sdohHowOftenChildHurt,0.019692474,0.019692474,0.094320725
diabetesDiagnosis,NN,Feature_Ablation,sdoh12MosNoTransDaily,sdoh12MosNoTransDaily,0.029614119,0.029614119,0.094253772
asthmaDiagnosis,Ensemble,Feature_Ablation,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.029611351,0.029611351,0.094244962
typeOfArthritisDiagnosed17,NN,Feature_Ablation,sdohLivedWithSplitHome18,sdohLivedWithSplitHome18,0.029597727,0.029597727,0.094201601
cancerDiagnosedSkinnonmelano17,Ensemble,Feature_Ablation,sdohPlacesForParksplay,sdohPlacesForParksplay,0.029591653,0.029591653,0.094182269
diabetesDiagnosis,NN,Permutation_Importance,sdohHomeProblemHeat,sdohHomeProblemHeat,0.019662977,0.019662977,0.094179444
strokeDiagnosis17,Ensemble,Permutation_Importance,sdohHomeProblemLead,sdohHomeProblemLead,0.019654348,0.019654348,0.094138114
asthmaDiagnosis,Ensemble,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.019638083,0.019638083,0.09406021
typeOfArthritisDiagnosed17,Ensemble,Permutation_Importance,sdoh12MosFoodRanOut,sdoh12MosFoodRanOut,0.019627967,0.019627967,0.094011757
arthritisDiagnosis17,XGB,Feature_Ablation,sdohUsedElectronicNicotineProd,sdohUsedElectronicNicotineProd,0.029533918,0.029533918,0.093998514
typeOfArthritisDiagnosed17,NN,Saliency,sdohAccessPublicTransportation,sdohAccessPublicTransportation,-0.08316648,0.08316648,0.093870209
typeOfArthritisDiagnosed17,NN,Permutation_Importance,sdohHomeProblemMold,sdohHomeProblemMold,0.019591313,0.019591313,0.093836196
asthmaDiagnosis,Ensemble,Permutation_Importance,sdohLivedWithSplitHome18,sdohLivedWithSplitHome18,0.019586675,0.019586675,0.093813981
cancerDiagnosedCervical17,XGB,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.019583333,0.019583333,0.093797974
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohHowOftenForced,sdohHowOftenForced,0.019572986,0.019572986,0.093748416
diabetesDiagnosis,NN,Permutation_Importance,sdohHomeProblemMold,sdohHomeProblemMold,0.019553295,0.019553295,0.093654102
diabetesDiagnosis,Ensemble,Feature_Ablation,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.029414697,0.029414697,0.093619066
arthritisDiagnosis17,Ensemble,Permutation_Importance,sdohHowOftenAbused18,sdohHowOftenAbused18,0.019543147,0.019543147,0.093605496
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdohHowHardPayBasics,sdohHowHardPayBasics,0.029403502,0.029403502,0.093583435
asthmaDiagnosis,NN,Integrated_Gradients,sdohPlacesForParksplay,sdohPlacesForParksplay,0.105209619,0.105209619,0.093549826
asthmaDiagnosis,Ensemble,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.019524985,0.019524985,0.093518506
cancerDiagnosedBreast17,DT,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.019524237,0.019524237,0.093514923
cancerDiagnosedskinunknownType17,XGB,Permutation_Importance,sdohSafeFromCrimeviolence,sdohSafeFromCrimeviolence,0.019519573,0.019519573,0.093492584
cancerDiagnosedBreast17,NN,Feature_Ablation,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.02935368,0.02935368,0.093424865
emphysemaDiagnosis17,NN,Feature_Ablation,sdohPlacesForMedicalCare,sdohPlacesForMedicalCare,0.029348411,0.029348411,0.093408095
strokeDiagnosis17,Ensemble,Permutation_Importance,sdohHelpFromCommunity,sdohHelpFromCommunity,0.019498069,0.019498069,0.093389587
diabetesDiagnosis,Ensemble,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.019493469,0.019493469,0.093367554
strokeDiagnosis17,Ensemble,Feature_Ablation,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.029325244,0.029325244,0.093334361
diabetesDiagnosis,NN,Feature_Ablation,sdohLivedWithSentenced18,sdohLivedWithSentenced18,0.029314987,0.029314987,0.093301716
dcsDiabetesDiagnosisByHealthProf,XGB,Feature_Ablation,sdohLivedWithSplitHome18,sdohLivedWithSplitHome18,0.02930986,0.02930986,0.093285398
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdoh12MosPayRentmortgLate,sdoh12MosPayRentmortgLate,0.02930986,0.02930986,0.093285398
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohDiscriminationByPolice,sdohDiscriminationByPolice,0.019461423,0.019461423,0.093214064
adhdaddDiagnosis517,XGB,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.01944119,0.01944119,0.093117154
strokeDiagnosis17,Ensemble,Feature_Ablation,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.029233315,0.029233315,0.093041776
dcsDiabetesDiagnosisByHealthProf,NN,Feature_Ablation,sdoh12MosMissCardOrLoanPymt,sdoh12MosMissCardOrLoanPymt,0.029216219,0.029216219,0.092987364
typeOfArthritisDiagnosed17,NN,Integrated_Gradients,sdoh12MosNoTransDaily,sdoh12MosNoTransDaily,0.10450802,0.10450802,0.092925982
strokeDiagnosis17,NN,Saliency,sdohHowOftenThreatenedHarm,sdohHowOftenThreatenedHarm,-0.08230868,0.08230868,0.092902008
cancerDiagnosedSkinnonmelano17,Ensemble,Permutation_Importance,sdohUsedElectronicNicotineProd,sdohUsedElectronicNicotineProd,0.019391977,0.019391977,0.09288144
cancerDiagnosedBreast17,NN,Feature_Ablation,sdoh12MosMissCardOrLoanPymt,sdoh12MosMissCardOrLoanPymt,0.029174147,0.029174147,0.09285346
emphysemaDiagnosis17,NN,Feature_Ablation,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.02916891,0.02916891,0.092836792
arthritisDiagnosis17,Ensemble,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.019381634,0.019381634,0.0928319
cancerDiagnosis17,Ensemble,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.019357059,0.019357059,0.092714193
cancerDiagnosedProstate17,NN,Feature_Ablation,sdoh12MosContactCollection,sdoh12MosContactCollection,0.029122744,0.029122744,0.092689858
